"CODE","NAME"
"GL","Glacier"
"WE","Wetland"
"LA","Land"
"LA-EX","Excavation"
"LA-OU","Outcrop"
"LA-PLY","Playa"
"LA-SNK","Sinkhole"
"LA-SH","Soil hole"
"LA-SR","Shore"
"LA-VOL","Volc Vent"
"AT","Atmosphere"
"ES","Estuary"
"OC","Ocean"
"OC-CO","Coastal"
"LK","Lake"
"ST","Stream"
"ST-CA","Canal"
"ST-DCH","Ditch"
"ST-TS","Tidal SW"
"SP","Spring"
"GW","Well"
"GW-CR","Well-coll"
"GW-EX","Well-exten"
"GW-HZ","Well-hyp"
"GW-IW","Well-iconn"
"GW-MW","Well-multi"
"GW-TH","Test hole"
"SB","Subsurface"
"SB-CV","Cave"
"SB-GWD","GW drain"
"SB-TSM","Tunl/mine"
"SB-UZ","unsat zone"
"FA","Facility"
"FA-AWL","Waste lag"
"FA-CI","Cistern"
"FA-CS","Sewer-comb"
"FA-DV","Diversion"
"FA-FON","Agric area"
"FA-GC","Golf"
"FA-HP","Hydroelect"
"FA-QC","QC lab"
"FA-LF","Landfill"
"FA-OF","Outfall"
"FA-PV","Pavement"
"FA-SPS","Septic sys"
"FA-STS","Sewer-strm"
"FA-TEP","Thermoelec"
"FA-WIW","Waste Inj"
"FA-SEW","Sewer-wste"
"FA-WWD","WW disp"
"FA-WWTP","WWTP"
"FA-WDS","Wtr distr"
"FA-WTP","WTP"
"FA-WU","WU estab"
"AG","Agg GW WU"
"AS","Agg SW WU"
"AW","Agg estab"
"SS","SpecSource"
